iter	Passed	Remaining
395	1100	1678
396	1102	1674
397	1104	1670
398	1106	1666
399	1108	1662
400	1110	1658
401	1113	1656
402	1115	1652
403	1118	1649
404	1120	1645
405	1122	1641
406	1124	1637
407	1126	1634
408	1129	1631
409	1131	1627
410	1133	1624
411	1135	1620
412	1137	1616
413	1138	1612
414	1140	1608
415	1142	1604
416	1148	1605
417	1150	1601
418	1152	1597
419	1153	1593
420	1155	1589
421	1157	1585
422	1159	1581
423	1161	1577
424	1163	1574
425	1165	1570
426	1167	1566
427	1183	1581
428	1188	1581
429	1190	1578
430	1192	1574
431	1194	1571
432	1197	1568
433	1199	1564
434	1201	1560
435	1204	1558
436	1207	1555
437	1210	1552
438	1214	1552
439	1216	1548
440	1218	1545
441	1220	1541
